system,regime,estimator,readout,value,known,lo,hi,hard,passed
gaussian_rank1,linear,participation_ratio,PR,1.0,1.0,0.7,1.3,True,True
gaussian_rank3,linear,participation_ratio,PR,2.9995,3.0,2.3,3.7,True,True
gaussian_rank5,linear,participation_ratio,PR,4.9965,5.0,4.1,5.9,True,True
lorenz,chaotic,correlation_dimension,D2_native,1.9795,2.06,1.71,2.41,True,True
lorenz,chaotic,correlation_dimension,D2_embedded,2.5565,2.06,,,False,
rossler,chaotic,correlation_dimension,D2_native,1.8877,1.99,1.64,2.34,True,True
rossler,chaotic,correlation_dimension,D2_embedded,2.0694,1.99,,,False,
henon,chaotic,correlation_dimension,D2_native,1.1672,1.22,0.92,1.52,True,True
henon,chaotic,correlation_dimension,D2_embedded,1.9161,1.22,,,False,
logistic_r4,chaotic,correlation_dimension,D2_native,0.8508,1.0,0.75,1.25,True,True
logistic_r4,chaotic,correlation_dimension,D2_embedded,4.0984,1.0,,,False,
periodic,limit_cycle,correlation_dimension,D2_native,0.0253,1.0,,,False,
periodic,limit_cycle,correlation_dimension,D2_embedded,0.0279,1.0,,,False,
ar1,stochastic,correlation_dimension,D2_native,0.9994,,,,False,
ar1,stochastic,correlation_dimension,D2_embedded,6.791,,,,False,
white_noise,stochastic,correlation_dimension,D2_native,2.8043,,2.5,,True,True
white_noise,stochastic,correlation_dimension,D2_embedded,7.0265,,,,False,
